Pour une Place publique de combat dans l'Ain,01,RODET Magalie,MONCHAMBERT Aurélien,LECOQ Alice,BACHELART Jean-Pierre,SLOBODSKY Laëtitia,CHARPIGNY Didier
Réveiller l'Allier,03,CABANEL Claire,VERGNAUD Frédéric,SUPPLISSON Hélène,LAHAYE Jacques,THIOULOUSE Paule,JAGUENEAU Alain
Place Publique Hautes Alpes,05,CRUZ François,HAMELIJNCK Régine,DUBOST Christian,PORTHAULT Danièle,LAMBERT Gérard,BLAISE Joelle 
Prenons place dans le 06 !,06,GALISSARD Anne,CIUBINI Laurent,VERGARA Aryele,MEGDICHE Samy,THEBAULT Perrine,PRAT Philippe
La Place ardéchoise,07,ALLEFRESDE Laurence,ANDREUX Jean-Pierre,BUNIAZET Claire,JUNG Emmanuel,RONDEL Brigitte,BATARDIERE Pascal
Place Publique 10,10,AUZOLS Sarah,LABARRE Valerie,ROUX Géraldine,LECOQ Jean-Philippe,AUZOLS Éric,CHAUVIER Samuel
Place à l'Aude,11,ARMENGAUD Patricia,VANDAELE Benoît,GALY Myriam,DHERS Georges,MARY Véronique,MORENO Olivier
Place commune,13,LAFUTTE Martine,FRANCOIS Pierre,GUTTON Cynthia,KHEMAISSIA Sebti,ZIEGLER-VERNOIS Claudine,MARTY Éric
Place à l’Avenir !,13,BAILLEUL Magali,ALBERTINI Christophe,RIQUELME Inès,LEBRET Sébastien,PINELLI Dominique,BRUCHET Eric
Calvados en commun,14,LE VAGUERÈSE Cécile,LECERF Marc,MANCA Clémentine,TUFFIER Laurent,SAUVAGE Catherine,PINSARD Grégory
Réveiller le Cantal !,15,CROS Vanessa,FAURE Bertrand,ROUX Camille,MANDOT Julie,LACASSAGNE Géraud,CANONNE Philippe
Une force d’action citoyenne pour la Charente,16,ZADRA Aurélie,PEREZ Alexandre,MAILLOCHAUD Valérie,ENGELBACH Bastien,CARRE Hélène,JANNET Michel
Résistance humaniste et démocrate partout sur nos territoires marins et ruraux en Charente-Maritime à la rencontre des citoyens,17,MARIE-REINE Joëlle,MEIGNEN Théophane,GABRIEL Manon,HOAREAU Sabrina,LAPIE Alain,ZIBAUT Laurent
LA Place Publique Costarmoricaine,22,LE LOUARN Michelle,HOUZET Olivier,ELLIS Isabelle,MAGET Pierre,PORTZER Florence,PERCHAIS
Place à l'avenir,24,LEURET Benoit,SCHOUKROUN Lise,BERNARD David,DUBOIS Nathalie,GUILIANI Karine,OUZEAU Pierre
Place Démocratique Dordogne,24,CHEVALIER VILLATE Hélène,DURU Nicolas,THOMAS Marine,LEMAUR Pierre,DROMER Evelyne,GARNIER Éric
PPD 26,26,MATHERON Alain,GUETARI Nadia,SCHOEPFER Xavier,CASALINO Françoise,VEYRET Pierre-Jean,DEGIOVANNI Elodie
SOLIDEURE,27,TRAPANI Olivier,RIVES Michèle,DANTU Gilles,CLERET Leslie,HAUCHARD Walter,BAUSMAYER Florence
Place Publique pour l'Eure-et-Loir,28,LINO Jean-Luc,BARBAUX Aurélie,CAILLÉ-CAYZAC Hélène,CHALLINE Cyprien,TALBOT Françoise,ELY Marc
Place Publique en Finistère,29,MARTIN-DUBOIS Véronique,MACE Pierre,SAUVAGE Pascale,DESTREMONT Julien,GUITTET Chantal,QUILLEVERE André
Engagé.e.s pour PP30,30,DARDON Florence,NUTI Dominique,FLEURY Virginie,FLAENDER Didier,GISLER Bettina,PASCAL Frédérick
Prenons place en Haute-Garonne,31,SAJHAU Hugo,LACOUR Émeline,TARAVELLA Aurélien,VROHIDES Magalie,FUENTES Jean-Marc,BOUDET Manon 
Objectif 32,32,DESBONS Marie-Pierre,MALBAY Philippe,PLANTECOTE Nathalie,CHALEROUX-BILLEROT Corinne,LEMAIRE Rémi,Bernard Stéphane 
Place publique 33 : le réveil citoyen !,33,PLATRIEZ Alice,REVERS Antoine,BIELLMANN Clara,TOUSSAINT Théophile,DAVIAUD Emmanuelle,DELORME Angel
Place Publique Hérault (PPH),34,BENAYON Inbal,SARICA Nazim,CHAMBARD Virginie,CAZILHAC Jean-Marc,COULOUMA Évelyne,DELAVEAU Jean-Dominique
En place pour le 35,35,PAULET Raymond,NIVAIGNE Marie-Caroline,DUFFY Pascal,ALVERGNE Françoise,TRIBODET HEINRY Jonathan,PIROT Christine
Place pour l’avenir,35,RASHAD Sophian,KIRCHHOFF Sylvie,DESMOULIN Gil,REBOUR Juliette,COUPRY Gwendal,BARRÉ Marie-Andrée
Démocrates de combat 37,37,RIMPOT Christophe,GLAIZES Hélène,LIDY Sébastien,GUIOT Isabelle,AUBOIRE Quentin,LOOCK Sarada
Place publique à l’action pour l’Isère,38,FRANCOIS Patrice,PARENTHOUX Pascale,PRIOU Charles,SCHUMAN Barbara,TROVERO Pierre,GARIN Anne
PPD 40,40,COLAS-JALABERT Isabelle,CABANNES Jean-François,LADOUSSE Laurence,CAULE Thierry,DE HAUTECLOCQUE Anne,DELANGE Laurent
Loir-et-Cher social-démocrate,41,VERLINDE Agnès,GOUJON Alex,AUGUR Karine,MALHERBE Jean-Luc,LOCKHART Catherine,DIOUX Christophe
Place Publique Loire,42,SIMEON-PERRIN Marie,THOURET Olivier,FOUQUET Alain,ROYER Michel,VANHECKE Eliane,JEHANNE Annick
Place Publique en Haute-Loire,43,PICHOT Benoit,DRAHI Juliette,GILBERT andré,MARTINAT Monica,PORTE Baptiste,BECK Édith
Place Publique 44 Action,44,DIVERSAY-DELAROQUE Aurélia,HUTEAU Christian,PAULOT Delphine,BELMEKKI Khaled,RABIN Monique,GABORY François
"Votre Place, votre voix, notre élan !",44,OUDRY Mathieu,DROUIN Béatrice,GUGUEN Gildas,SORIA Catherine,MAIGRET Hervé,AZZOPARDI Lucille
Place publique Lot,46,BATHENDIER Serge,RAGGI Jessica,VILLIEN Christian,FOLTZ Élisabeth,WIRTH Laurent,DRUET Irène
Les Démocrates de combat du 47,47,CARUHEL Maud,GERMAIN Vincent,BUIL Béatrice,PONTENS Rodolphe,MAILLOU Emily,CASSANY Patrick
Place publique au coeur en Maine et Loire,49,BOTAU Flavien,VERON Céline,MIRANDE Séverine,BOCQUILLON Nicolas,ESKENAZI Marc,GEANDREAU Cécile
"La Manche, Terre de Liens, Espace de Solidarité ET d'Émancipation",50,DUCLOS Élisabeth,LAGALLARDE Quentin,BRUTINOT Sylvie,LEGUÉNÉ Bernard,LOQUÉ Huguette,GUILLEMETTE Jean
PP54,54,ALOUANE Yann,GIFFARD Mélanie,DELAPORTE Patricia,CAPS Antony,RENEAUX Karine,BOUCHE Nicolas
PP56 Armor Argoat,56,PLUMER Schreiber,LE RUYET Stevan,GORET,MILLET Olivier,TROCADERO Emmanuelle,COUGOULAT Jean-Pierre
"Ensemble, faisons grandir Place publique dans le Morbihan",56,NOGUÈS Philippe,ROGER Krystina,MILÈS Jean-Louis,AMOUILLIN-GAUTIER Corinne,TOUTAIN Lionel,MOTTE Axelle
Concorde Moselle,57,BRIGAUDEAU Bertrand,ROCHÉ Géraldine,BOUVET Xavier,CHABAUX Simone,ROUX Nicolas,MIELCARECK Valérie
Comité Place Publique Orne,61,TERRÉ Paul-Émilien,OLSUFIEV Alexandra,TROLLÉ Arnaud,LABEDZ Joanna,SACRISTE Guillaume,LEBON Christine
Union sociale démocrate pour le Pas de Calais,62,FRAY Jean-Baptiste,MARTIN Aurélie,ALIGNY Emmanuelle,HUBNER Guillaume,DURIEZ Anne-Lise,DUVETTE François
Dynamiser la Place publique du Puy-de-Dôme,63,MARIE-CATHERINE Baptiste,ALEXANDRE Geraldine,NARMIN Hussein,VANTORRE Chloé,SORTAIS Thierry,PICHON Jean-Philippe
Continuons ensemble dans les Pyrénées-Atlantiques,64,BENSOUSSAN Julie,DELVERT Lionel,BATCABE Anne-Marie,PAGOLA Serge,SENEQUE Mireille,FOURCADE Xavier
Ensemble pour notre territoire,66,ROMERO Olivier,FRANCOIS Laurence,GAILLARD Thierry,BENEZET Nina,PODAIRE Alain,SOTTIL Claire
Place publique départementale du Bas-Rhin,67,STEFF Marie-Jeanne,KRUMMENACKER Guy,LEPERS DE LA CHAPELLE Anne,WARNIER David,CHEVALERIAS Mélanie,VONIE Thierry
Place publique Haut-Rhin,68,JAAFAR Driss,BANDRY SCUBBI Anne,WINNLEN Julien,DAUDIN Magda,MULENET-LIBERATO Kévin,THERY Sonia
"Une Place publique au coeur de la démocratie, développer et agir pour notre territoire",69,VERMEULIN Frédéric,GAUTHIER Lisa,PEREIRA Paul,MARVEL Jacqueline,LAFOUX Christophe,GADOU Caroline
Place Publique au coeur de la Sarthe,72,EMMANUEL Éric,LETURQUE Catherine,JEAN Hélène,RENARD JOLY Marie-Agnès,GILLET Jean-Michel,ECKERT Fabien
Place publique Savoie,73,VIRONE Cristina,CHOUVELLON Antoine,MASSARO Clément,PUGNAIRE Marc,HOLLEBECQ Isabelle,MAISONNEUVE Isabelle
"Campagnes, villes, citoyens en mouvement de Haute Savoie ",74,ROUBIAN Alain,GUILHERMET Laure,PENHOUET Anthony,DUCHÉ Adeline,PRESSET Benjamin,CRETIN Aurélie 
Paris en mieux,75,FOURDRINIER Théa,LOMBARD Pierre,JUIF Sylvia,LEJEUNE Paul,LOUIS Judith,GUÉROUT Jean-Marie
Faire vivre Place Publique en Seine Maritime,76,MARTEAU Frédéric,BOULON-FAHMY Annie,BUREL Gilles,VALLA Paule,VAILLANT Paul,LE PETITCORPS Beatrice
Réveiller la Seine-et-Marne ,77,THÉOT Olivier,ROUSSEAU Valentine,FABRY Paul,LEMAIRE Sylvie,GOUPIL Stéphane,ROBERT Martine
Place publique 78 Pour une démocratie sociale co-construite,78,BENISTI Élise,MOUGENOT-PELLETER Jordane,BOUTTAZ Olivier,OUVRARD Stéphanie,KASMI BAKKALI Yasmina,VILAN Luc
Cocktail démocrate,79,PIGEAUD-KORTSMIT Laurence,LEROY Adrien,BRANDEAU Jocelyne,CAILLET Patrick,CHOLLET Marie-Pierre,RIVAULT Nicolas
Place Publique 80,80,ALEXANDRE Éric,FERNANDES Sophie,GONTHIER Guillaume,VANACKER Catherine,CANO Emmanuelle,POIX Renaud
Ensemble pour le Tarn de demain,81,DE MAULÉON Olivier,CARRIÈRE Brigitte,LACOUR Denis,FAVAREL Nicole,CROS Jean-Louis,BEAUVY Marie
En Place pour demain,82,BOUCHE Thérèse,CAPPELLETI Michel,FRAISSE Chantal,MAIPLE François,DESBEAUX Josette,MANFREDI Thierry
En place pour le Var,83,NARDINI elsa,PASCAL Colin,BARBIER Diane,TOULGOAT Julien,FABRE Nancy,PORTMANN Jean-Pierre 
Tout le Vaucluse,84,CHICH Paule,BELVALETTE Benoît,MONARD Maurine,LECHAT Philippe,DAUVERGNE Anne,GUERIN Christophe
Pour la Place Publique de Vendée,85,CHEVALIER Hortense,SACHOT Guy-Pierre,CAULIER Mireille,POIRIER Stéphane,MERLET Guylaine,FRERE Thierry
Uni-e-s pour la démocratie !,86,MEYER Valérie,TROUSSELLE Yves,BERCAUD Thomas,CHARPENTIER Rebecca,ALAPHILIPPE Majorie,FAVREAU Jonathan
Ma Place Publique Haut Viennoise,87,BERNARD-REYMOND Philippe,LEVEQUE Martine,MALFOIS Cédric,DORE Béatrice,MARISSAL Jean-Luc,VARACHAUD Evelyne
Place Publique Yonne ,89,HEUGEL Manon,PAGNOUX Mickael,PRADERES Annick,MANFREDINI Stefano,SIMONNOT Eva,PROU MELINE Rémi
Place publique Essonne Ambitieuse,91,FAURE Pierre-Patrick,ZEGHOUF Laurence,STEIGELMANN Daniel,PUHACH Tykhon,LUBELSKI Patricia,SZPIRGLAS Jeanne
Un cap clair pour les Hauts-de-Seine,92,ROSENBERG Sara,EL HADRI Larbi,LEFEBVRE Marie Julia,CAFFIN Jérémie,AUMONT Françoise,NISSIM Yves
Alternative 92,92,VAUDOUR Vincent,GILIBERT Emma,POTHIER Jocelyn,LE MOAN Louise,DRONNE François,THOMAS-MAIRE Gwenaëlle 
"Place Publique 93 : pour une gauche de terrain, sociale, écologique,  et européenne",93,PRIGENT Olivier,MATHIEU Nathalie,LAVON Sigalit,BENOIT Etienne,MARTY Laurence,CEDRIC Emmanuel
"Avec vous, Changeons le Val-de-Marne",94,TERRISSE Safae,GUYOT Daniel,GODREAU François,KERN Catherine,MORISSON PROVINI Élisabeth,SERRAYE Mohand
 Un cap très clair pour Place publique Val-d’Oise,95,MOLÈRE-ATTAL Rachel,REBAGLIATO Gilles,LACASSAGNE Sylvain,MOUCHOTTE Stéphanie,ROMAN Joël,SALMAT Ghislaine 
Place Publique Engagé en Guadeloupe ,971,CLEMENCE Amadou,CARÊME Marie,LANCLUME Jérémie,NIEL Sandrine,DUVEY Christiane,KINDOU Claude
